"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Impressions,Reach,Ends,"Attribution setting","Mobile app installs"
2026-09-01,2026-09-16,"appInsatalls with Sourabh and Vidhi creative – Copy18.08.25",inactive,,,,3500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Websitesale_Shark_tank_page_05.09.25,inactive,,,,2500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"appInsatalls with Sourabh and Vidhi creative – Copy 218.08.25",inactive,,,,3500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Insatll with omneky creative",inactive,,,,1800,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Party Rental - call now - Pune",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,DirectSales_LookalikeSubscribers,inactive,,,,3000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Jan'26_Whatsapp_Top25Pincodes_MUM,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"One Month Trial _1hr Delivery",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,AppDownload_Campaign_ios,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,AppDownload_Campaign_Android,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Retarget-App Conversion-InAppPurchase",inactive,,,,2000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,EleFantSubscription-Awareness-SubscribeNow,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,EleFantSubscription-Retargeting-SubscribeNow-Android,inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Conversion-App Install-25%OFF-Android&ios",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Awareness iOS Install - CBO - NC1",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Android - App-Install - All - NC",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Installs - RM1 - NC",inactive,,,,200,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Event - Franchise India",inactive,,,,3000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_Conv_PinCode_151024,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Elefant_AppInstalls_with_app_conversion_event,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Website_purchase_New_TA,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Appinstall_stepwise,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Remarketing with 4 new ads",inactive,,,,2500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install with Vidhi Dopamine video",inactive,,,,2500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Appinstall_28_08_25_Android_IOS_PinCode_Targeted,inactive,,,,5700,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Elefant_WebsiteLeads_InterestTargetings_191224 – Copy 2",inactive,,,,4999,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App install desi creative – Copy",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Party Rental - call now - Mumbai",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Bipasha-Reach-Campaign,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Bipasha-ahm-beyondchat-awareness Campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Jan'26_Whatsapp_Top25Pincodes_BLR,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Subscribe Now - Mumbai - Awareness",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Retarget - Subscribe-Now - 40% OFF",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install - Top 5 Cities",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,EleFantSubscription-Retargeting-SubscribeNow,inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Awareness Android Install - CBO - NC",inactive,,,,1100,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Awareness iOS Install - CBO - NC2",inactive,,,,3000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Traffic - CBO - BuyBack - NC",inactive,,,,480,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Catalog BuyBack - NC",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"iOS-Direct- LL- NC",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Android-Direct- LL- NC",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,APP_Acquisition_InAppPurchases_Tier1&2_8-6-26_IOS,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install - Interest - IOS 2-old",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_Conv_Remarketing_120824,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_AI_Android_Events_Login_DiwaliSale_271024,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_Lead_Form_Campaign_081124,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IKFW_Retarget,inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"🟠 [02] MB - the Elefant - Cold - Website Purchase - GT2 -  Shopping+ Campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"appInsatalls with Sourabh and Vidhi creative",inactive,,,,3500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Awareness Campaign with static image (male)",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Awareness Campaign with static image (female)",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,CBO_Leads_InbuiltAudiance_Lookalike_Interest+Broad_18.08.25,inactive,,,,1600,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"New App install vidihi brain tools video",inactive,,,,1500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install with android pincode and inapp events",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Appinstall Android pincode  price comparison video",inactive,,,,3000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Subscribe Now - BLR - Awareness",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Franchise - Lead Gen",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Nagpur Awareness Campaign-MH3140",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Shark Tank _ Lead Form_MUM_PNQ_HYD_BLR",inactive,,,,2000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Appinstall-CBO-IOS,inactive,,,,2500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Awareness-B2B,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Visitors + Known - Checkout - NC",inactive,,,,800,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Visitors + Known - Checkout - NC - Copy",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"iOS-Direct- Purchase - NC",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Insta RM - NC",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Consideration-Android-Test-NC,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"APP_Acquisition_InAppPurchases_Tier1&2_15-6-26_IOS – Copy",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Test Campaign",not_delivering,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_App_Install_Sale_Campaign_111124,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Elefant_WebsiteLeads_InterestTargetings_191224 – Copy",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"New remarketing sonali ad",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App install gatekeeping ad",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App install desi creative",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Remarketing with taraju creative",inactive,,,,1500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Website Creative_Cold Audience",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Sales APRO Aud",inactive,,,,2000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Awareness campaign with Vidhi",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install is more fun - Checked AB",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Party Rental - call now - Ahmedabad",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Party Rental - call now - Gurugram",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install_Lookalike_ios_AB",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install_Lookalike_orderwisepincodes",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Retarget- Types of Toys-Ahmedabad",inactive,,,,2000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Jan'26_Whatsapp_Top25Pincodes_AHM,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Subscribe Now- AHM_MUM_PNQ_DEL_BLR",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Retarget_SharkTank,inactive,,,,2000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Appinstall-CBO-Android,inactive,,,,2500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,EleFantSubscription-Retargeting-SubscribeNow-IOS,inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Awareness iOS Install - NC",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"iOS - App-Install - All - NC",inactive,,,,700,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"iOS-Direct- LL- NC1",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"APP_Acquisition_InAppPurchases_Tier1&2_6-6-26_android – Copy",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Event Campaign - NC",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[01] Librarian1",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[02] Librarian2",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[11] New Engagement campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[16] carousel hindi Post",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[17] Lead campaign 2",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[18] Carousel Post _ ENG",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[19] Lead Campaign Noida & Bangalore",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[20] Retargetting",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[21] Diwalioffer_leads",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[24] App_Install_campaign_Android_NOV_2023",inactive,,,,"Using ad set budget",0,0,0,0,1970-01-01,-,
2026-09-01,2026-09-16,"[27] Librarian – Gurgaon",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[28] 6+6offer_retargetting",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[29] App promotion campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[30] offer leads",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[32] channel_partner-leads",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Purchase_website – Copy",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Elefant_LeadForm_Parents_061224,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"New remarketing sonali creative(hack)",inactive,,,,2500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"IKFW Awareness campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install- Sourabh & Vidhi - checked AB",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Elefant_AppInstalls_with_app_conversion_event – Copy",inactive,,,,1500,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Party Rental - call now - Delhi",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"AppInstall - Android - All Cities - NC - Old",inactive,,,,1000,Daily,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"App Install - Interest - IOS 1-old",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Community Audience - NC",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[23] App_Install_Campaign_NOV_2023_iOS Campaign",inactive,,,,"Using ad set budget",0,0,0,0,1970-01-01,-,
2026-09-01,2026-09-16,"[25] Jaipur_Library_Invitation",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[31] ios Appninstall",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[34] Librarian – Gurgaon /chennai/hyderabad/ahemdabad Campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[36] Retargetting Campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[35] Insta_Engagement",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,Ahemdabad/channai/indore/kolkata/pune,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[38] Gift Card Test",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[39] Wheezone Invite",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[40] New Traffic campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[41] Purchase_website",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[42] Website_Retargetting",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_Leads_Librarian,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[45] App promotion campaign – Retarget",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_App_Install_Campaign_June,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[48] IKFW_offer Campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[50] growth_partner-leads - Tailored leads campaign – Copy Campaign",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_GrowthPartner_Leads_280824,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"[52] Librarian Leads - - Tailored leads campaign - Copy",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"🟠 [53] MB - the Elefant - Cold - Website Purchase - Postal code -  ABO - 31July",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"🟠 [54] MB - the Elefant - Cold - Website Purchase - Postal code -  ABO - 2 August",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,IC_Conv_Open_PostalCode-ABO_V2_090824,inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
2026-09-01,2026-09-16,"Subscribe Now - AMD PNQ - Awareness",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-,
